institution_repl
"Bachelorstudiengang"
"Bachelor"
"LBA"
"Bereich"
"B. A."
"Masterstudiengang"
"Master"
"Diplom"
"Fachrichtung"
"Fakultät"
"für"
"Fernstudium"
"Institut"
"Studiengänge"
"Professur"
"Schwerpunkt"
"Spezialisierung"
"Studienbereich"
"Studiengang"
"MF"
"MP"
"SMB"
"SGB"
"Studienrichtung"
"B. Eng."
"ZIS"
