katalogeintraege_tag,hoschschulfaechersystematik_url
Career Center,https://w3id.org/kim/hochschulfaechersystematik/n257
Career Service,https://w3id.org/kim/hochschulfaechersystematik/n257
Chemie,https://w3id.org/kim/hochschulfaechersystematik/n40; https://w3id.org/kim/hochschulfaechersystematik/n032 
Chemie und Lebensmittelchemie,https://w3id.org/kim/hochschulfaechersystematik/n032; https://w3id.org/kim/hochschulfaechersystematik/n096
Chemie und Physik,https://w3id.org/kim/hochschulfaechersystematik/n032; https://w3id.org/kim/hochschulfaechersystematik/n0128
Chemieingenieurwesen,https://w3id.org/kim/hochschulfaechersystematik/n033
Darstellungslehre,https://w3id.org/kim/hochschulfaechersystematik/n76
Datenbanken,https://w3id.org/kim/hochschulfaechersystematik/n079
Datenschutz & Datensicherheit,https://w3id.org/kim/hochschulfaechersystematik/n079
Deutsch,https://w3id.org/kim/hochschulfaechersystematik/n09; https://w3id.org/kim/hochschulfaechersystematik/n067
Deutsch als Fremdsprache,https://w3id.org/kim/hochschulfaechersystematik/n271
Dezentrale Standorte,
Didaktik der Informatik,https://w3id.org/kim/hochschulfaechersystematik/n079
Didaktik der politischen Bildung,https://w3id.org/kim/hochschulfaechersystematik/n25; https://w3id.org/kim/hochschulfaechersystematik/n129
Differentielle und Persönlichkeitspsychologie,https://w3id.org/kim/hochschulfaechersystematik/n132
Digitale Transformation,https://w3id.org/kim/hochschulfaechersystematik/n079; https://w3id.org/kim/hochschulfaechersystematik/n222; https://w3id.org/kim/hochschulfaechersystematik/n253
Digitaltechnik und Rechnerarchitektur,https://w3id.org/kim/hochschulfaechersystematik/n64; https://w3id.org/kim/hochschulfaechersystematik/n123
E-Learning,https://w3id.org/kim/hochschulfaechersystematik/n052
E-Learning-Angebote,https://w3id.org/kim/hochschulfaechersystematik/n052
eCampus,https://w3id.org/kim/hochschulfaechersystematik/n052
Economics,https://w3id.org/kim/hochschulfaechersystematik/n184; https://w3id.org/kim/hochschulfaechersystematik/n175
Electrical Engineering,https://w3id.org/kim/hochschulfaechersystematik/n048
Elektrische Energieversorgung und Hochspannungstechnik,https://w3id.org/kim/hochschulfaechersystematik/n048; https://w3id.org/kim/hochschulfaechersystematik/n316
Elektro- und Informationstechnik,https://w3id.org/kim/hochschulfaechersystematik/n64
Elektrotechnik,https://w3id.org/kim/hochschulfaechersystematik/n048
Elektrotechnik und Informatik,https://w3id.org/kim/hochschulfaechersystematik/n048; https://w3id.org/kim/hochschulfaechersystematik/n079
Elektrotechnik und Informationstechnik,https://w3id.org/kim/hochschulfaechersystematik/n64
Elektrotechnisches Institut,https://w3id.org/kim/hochschulfaechersystematik/n048
Energie und Hochspannungstechnik,https://w3id.org/kim/hochschulfaechersystematik/n048; https://w3id.org/kim/hochschulfaechersystematik/n316
Energietechnik,https://w3id.org/kim/hochschulfaechersystematik/n316; https://w3id.org/kim/hochschulfaechersystematik/n211
Energieverfahrenstechnik,https://w3id.org/kim/hochschulfaechersystematik/n316; https://w3id.org/kim/hochschulfaechersystematik/n211
Englisch,https://w3id.org/kim/hochschulfaechersystematik/n008
Englische Literaturwissenschaft,https://w3id.org/kim/hochschulfaechersystematik/n008
Entrepreneurship und Innovation,https://w3id.org/kim/hochschulfaechersystematik/n021; https://w3id.org/kim/hochschulfaechersystematik/n182; https://w3id.org/kim/hochschulfaechersystematik/n184
Entwicklungspsychologie und Neurowissenschaft der Lebensspanne,https://w3id.org/kim/hochschulfaechersystematik/n132; https://w3id.org/kim/hochschulfaechersystematik/n107
Environmental Engineering,https://w3id.org/kim/hochschulfaechersystematik/n457
Erwachsenenbildung und Weiterbildung,https://w3id.org/kim/hochschulfaechersystematik/n052; https://w3id.org/kim/hochschulfaechersystematik/n321
Erziehungswissenschaften,https://w3id.org/kim/hochschulfaechersystematik/n052
Erziehungswissenschaftliche Fakultät,https://w3id.org/kim/hochschulfaechersystematik/n052
Europäische Geschichte,https://w3id.org/kim/hochschulfaechersystematik/n068
Europäische Studien,https://w3id.org/kim/hochschulfaechersystematik/n024
Evangelische Theologie,https://w3id.org/kim/hochschulfaechersystematik/n02; https://w3id.org/kim/hochschulfaechersystematik/n053
Fachdidaktik Philosophieren mit Kindern,https://w3id.org/kim/hochschulfaechersystematik/n365; https://w3id.org/kim/hochschulfaechersystematik/n115
Fächer und Didaktik des Faches,https://w3id.org/kim/hochschulfaechersystematik/n052
Fächer und ihre Didaktik,https://w3id.org/kim/hochschulfaechersystematik/n052
Fächer und ihre Fachdidaktik,https://w3id.org/kim/hochschulfaechersystematik/n052
Fachschaftsrat,https://w3id.org/kim/hochschulfaechersystematik/n29
Fahrzeugtechnik,https://w3id.org/kim/hochschulfaechersystematik/n235
Feinwerktechnik und Elektronik-Design,https://w3id.org/kim/hochschulfaechersystematik/n048; https://w3id.org/kim/hochschulfaechersystematik/n157; https://w3id.org/kim/hochschulfaechersystematik/n104
Fertigungstechnik,https://w3id.org/kim/hochschulfaechersystematik/n104; https://w3id.org/kim/hochschulfaechersystematik/n202
Festkörper- und Materialphysik,https://w3id.org/kim/hochschulfaechersystematik/n0128
Financial Economics and Global Markets,https://w3id.org/kim/hochschulfaechersystematik/n184; https://w3id.org/kim/hochschulfaechersystematik/n175
Finanzwirtschaft und Finanzdienstleistungen,https://w3id.org/kim/hochschulfaechersystematik/n175
Förderpädagogik,https://w3id.org/kim/hochschulfaechersystematik/n052; https://w3id.org/kim/hochschulfaechersystematik/n361
Forschungsmethoden und Evaluation,
Forstbotanik,https://w3id.org/kim/hochschulfaechersystematik/n058
Forstbotanik und Forstzoologie,https://w3id.org/kim/hochschulfaechersystematik/n058
Forstnutzung und Forsttechnik,https://w3id.org/kim/hochschulfaechersystematik/n058
Forstwissenschaften,https://w3id.org/kim/hochschulfaechersystematik/n058
frankophoner Kulturraum,https://w3id.org/kim/hochschulfaechersystematik/n059
Französisch,https://w3id.org/kim/hochschulfaechersystematik/n059
Französische Literatur,https://w3id.org/kim/hochschulfaechersystematik/n059
Fremdsprachen,
