katalogeintraege_tag,hoschschulfaechersystematik_url
Methoden der Psychologie,https://w3id.org/kim/hochschulfaechersystematik/n132
Mineralogie,https://w3id.org/kim/hochschulfaechersystematik/n111
Musikpädagogik,https://w3id.org/kim/hochschulfaechersystematik/n113
Musikwissenschaft,https://w3id.org/kim/hochschulfaechersystematik/n78
Nachhaltigkeits- und Immobilienmanagement,https://w3id.org/kim/hochschulfaechersystematik/n464
Nachrichtentechnik,https://w3id.org/kim/hochschulfaechersystematik/n222
Natur- und Umweltwissenschaften,https://w3id.org/kim/hochschulfaechersystematik/n186; https://w3id.org/kim/hochschulfaechersystematik/n457; https://w3id.org/kim/hochschulfaechersystematik/n458
Naturstofftechnik,https://w3id.org/kim/hochschulfaechersystematik/n457; https://w3id.org/kim/hochschulfaechersystematik/n63
Naturwissenschaften,https://w3id.org/kim/hochschulfaechersystematik/n4; https://w3id.org/kim/hochschulfaechersystematik/n36
NDL und Didaktik der deutschen Sprache und Literatur,https://w3id.org/kim/hochschulfaechersystematik/n09; https://w3id.org/kim/hochschulfaechersystematik/n067
Neuere deutsche Literatur- und Kulturgeschichte,https://w3id.org/kim/hochschulfaechersystematik/n09; https://w3id.org/kim/hochschulfaechersystematik/n067
Nordamerikastudien,https://w3id.org/kim/hochschulfaechersystematik/n006; https://w3id.org/kim/hochschulfaechersystematik/n10
Öffentliche Bauten,https://w3id.org/kim/hochschulfaechersystematik/n013
Ökologie und Umweltschutz,https://w3id.org/kim/hochschulfaechersystematik/n458; https://w3id.org/kim/hochschulfaechersystematik/n385
Orchester,https://w3id.org/kim/hochschulfaechersystematik/n165; https://w3id.org/kim/hochschulfaechersystematik/n78
Organisations- und Wirtschaftspsychologie,https://w3id.org/kim/hochschulfaechersystematik/n132
Organische Chemie,https://w3id.org/kim/hochschulfaechersystematik/n032
Ostasienzentrum,https://w3id.org/kim/hochschulfaechersystematik/n187
Pflanzenverwendung,https://w3id.org/kim/hochschulfaechersystematik/n026
Philosophie,https://w3id.org/kim/hochschulfaechersystematik/n127; https://w3id.org/kim/hochschulfaechersystematik/n04
Philosophische Fakultät,https://w3id.org/kim/hochschulfaechersystematik/n127; https://w3id.org/kim/hochschulfaechersystematik/n04
Photogrammetrie und Fernerkundung,https://w3id.org/kim/hochschulfaechersystematik/n039; https://w3id.org/kim/hochschulfaechersystematik/n171
Physician Assistant,https://w3id.org/kim/hochschulfaechersystematik/n0128
Physik,https://w3id.org/kim/hochschulfaechersystematik/n0128
Physikalische Technik / Informatik,https://w3id.org/kim/hochschulfaechersystematik/n224; https://w3id.org/kim/hochschulfaechersystematik/n079
Politikwissenschaft,https://w3id.org/kim/hochschulfaechersystematik/n25; https://w3id.org/kim/hochschulfaechersystematik/n129
Politische Systeme und Systemvergleich,https://w3id.org/kim/hochschulfaechersystematik/n25
Politische Theorie und Ideengeschichte,https://w3id.org/kim/hochschulfaechersystematik/n25; https://w3id.org/kim/hochschulfaechersystematik/n068
Pop,https://w3id.org/kim/hochschulfaechersystematik/n164; https://w3id.org/kim/hochschulfaechersystematik/n78
POWI I Politische Theorie und Ideengeschichte,https://w3id.org/kim/hochschulfaechersystematik/n25; https://w3id.org/kim/hochschulfaechersystematik/n068
POWI II Politische Systeme,https://w3id.org/kim/hochschulfaechersystematik/n25
POWI IV Europäische Regierungssysteme im Vergleich,https://w3id.org/kim/hochschulfaechersystematik/n25
POWI V Politikwissenschaftliche Forschungsmethoden,https://w3id.org/kim/hochschulfaechersystematik/n25
Produktionstechnik,https://w3id.org/kim/hochschulfaechersystematik/n202
Computergraphik und Visualisierung,https://w3id.org/kim/hochschulfaechersystematik/n069; https://w3id.org/kim/hochschulfaechersystematik/n121
Psychologie,https://w3id.org/kim/hochschulfaechersystematik/n132; https://w3id.org/kim/hochschulfaechersystematik/n32
Psychologie des Lehrens und Lernens,https://w3id.org/kim/hochschulfaechersystematik/n132; https://w3id.org/kim/hochschulfaechersystematik/n33; https://w3id.org/kim/hochschulfaechersystematik/n052
Public Management,https://w3id.org/kim/hochschulfaechersystematik/n29; https://w3id.org/kim/hochschulfaechersystematik/n172
Public Sector Economics,https://w3id.org/kim/hochschulfaechersystematik/n29; https://w3id.org/kim/hochschulfaechersystematik/n021
"Pulvermetallurgie, Sinter- und Verbundwerkstoffe",https://w3id.org/kim/hochschulfaechersystematik/n62; https://w3id.org/kim/hochschulfaechersystematik/n076; https://w3id.org/kim/hochschulfaechersystematik/n219; https://w3id.org/kim/hochschulfaechersystematik/n294
QUER - Qualifikationsprogramm  Akademiker zum Einstieg in den Lehrerberuf,https://w3id.org/kim/hochschulfaechersystematik/n052; https://w3id.org/kim/hochschulfaechersystematik/n361
Regelungs- und Steuerungstheorie,https://w3id.org/kim/hochschulfaechersystematik/n64
Regelungstechnik und Systemdynamik,https://w3id.org/kim/hochschulfaechersystematik/n8
Rehabilitation Engineering,https://w3id.org/kim/hochschulfaechersystematik/n68
Rock,https://w3id.org/kim/hochschulfaechersystematik/n78
Rohstoffabbau und Spezialverfahren unter Tage,https://w3id.org/kim/hochschulfaechersystematik/n62; https://w3id.org/kim/hochschulfaechersystematik/n020
Romanistik,https://w3id.org/kim/hochschulfaechersystematik/n11
Sachunterricht,https://w3id.org/kim/hochschulfaechersystematik/n254
Schulmusik,https://w3id.org/kim/hochschulfaechersystematik/n113
Schulpraktische Studien,https://w3id.org/kim/hochschulfaechersystematik/n052
Service - Career Center,https://w3id.org/kim/hochschulfaechersystematik/n257
Service - Sozialkontaktstelle,https://w3id.org/kim/hochschulfaechersystematik/n253
Service Engineering,https://w3id.org/kim/hochschulfaechersystematik/n079
Siedlungs- und Industriewasserwirtschaft,https://w3id.org/kim/hochschulfaechersystematik/n077
Slavistik,https://w3id.org/kim/hochschulfaechersystematik/n146; https://w3id.org/kim/hochschulfaechersystematik/n12
Software- und Multimediatechnik,https://w3id.org/kim/hochschulfaechersystematik/n222; https://w3id.org/kim/hochschulfaechersystematik/n305
Softwaretechnologie,https://w3id.org/kim/hochschulfaechersystematik/n079
Sozial- und Kulturwissenschaften,https://w3id.org/kim/hochschulfaechersystematik/n26; https://w3id.org/kim/hochschulfaechersystematik/n148; https://w3id.org/kim/hochschulfaechersystematik/n14
Soziale Arbeit,https://w3id.org/kim/hochschulfaechersystematik/n208
Soziales,https://w3id.org/kim/hochschulfaechersystematik/n245; https://w3id.org/kim/hochschulfaechersystematik/n148; https://w3id.org/kim/hochschulfaechersystematik/n149; https://w3id.org/kim/hochschulfaechersystematik/n147
Sozialpädagogik,https://w3id.org/kim/hochschulfaechersystematik/n245
"Sozialpädagogik, Sozialarbeit und Wohlfahrtswissenschaften",https://w3id.org/kim/hochschulfaechersystematik/n245; https://w3id.org/kim/hochschulfaechersystematik/n208
Sozialpsychologie,https://w3id.org/kim/hochschulfaechersystematik/n132
Sozialwissenschaften,https://w3id.org/kim/hochschulfaechersystematik/n26; https://w3id.org/kim/hochschulfaechersystematik/n148
Soziologie,https://w3id.org/kim/hochschulfaechersystematik/n149
Soziologische Theorien,https://w3id.org/kim/hochschulfaechersystematik/n149
"Sprach-, Literatur- und Kulturwissenschaften",https://w3id.org/kim/hochschulfaechersystematik/n07; https://w3id.org/kim/hochschulfaechersystematik/n004; https://w3id.org/kim/hochschulfaechersystematik/n090
Sprachen,https://w3id.org/kim/hochschulfaechersystematik/n07; https://w3id.org/kim/hochschulfaechersystematik/n284
Sprachenzentrum,https://w3id.org/kim/hochschulfaechersystematik/n07; https://w3id.org/kim/hochschulfaechersystematik/n284
Sprachlernseminare,https://w3id.org/kim/hochschulfaechersystematik/n07; https://w3id.org/kim/hochschulfaechersystematik/n284
Sprecherziehung,https://w3id.org/kim/hochschulfaechersystematik/n365; https://w3id.org/kim/hochschulfaechersystematik/n190
Städtebau und Regionalplanung,https://w3id.org/kim/hochschulfaechersystematik/n134; https://w3id.org/kim/hochschulfaechersystematik/n67
Stahl- und Holzbau,https://w3id.org/kim/hochschulfaechersystematik/n429; https://w3id.org/kim/hochschulfaechersystematik/n197
Stegreif-Entwurf,
Steuerberatung / Wirtschaftsprüfung,https://w3id.org/kim/hochschulfaechersystematik/n184; https://w3id.org/kim/hochschulfaechersystematik/n3; https://w3id.org/kim/hochschulfaechersystematik/n135; https://w3id.org/kim/hochschulfaechersystematik/n28; https://w3id.org/kim/hochschulfaechersystematik/n042
Strahlentechnik und Strahlenschutz,https://w3id.org/kim/hochschulfaechersystematik/n241
StudentLab SteigtUM,https://w3id.org/kim/hochschulfaechersystematik/n257
Studio Wohnbauten,https://w3id.org/kim/hochschulfaechersystematik/n013
Systemarchitektur,https://w3id.org/kim/hochschulfaechersystematik/n079
Systementwicklung,
Technik,https://w3id.org/kim/hochschulfaechersystematik/n199
Technik spurgeführter Fahrzeuge,https://w3id.org/kim/hochschulfaechersystematik/n235
Technische Informatik,https://w3id.org/kim/hochschulfaechersystematik/n123
Technische Thermodynamik,https://w3id.org/kim/hochschulfaechersystematik/n0128
Technisches Management,https://w3id.org/kim/hochschulfaechersystematik/n199
Textil- und Ledertechnik,https://w3id.org/kim/hochschulfaechersystematik/n225
Theoretische Physik,https://w3id.org/kim/hochschulfaechersystematik/n0128
Theorie & Praxis der Sportarten,https://w3id.org/kim/hochschulfaechersystematik/n22; https://w3id.org/kim/hochschulfaechersystematik/n029
"Thermische Verfahrenstechnik, Umwelt- und Naturstoffverfahrenstechnik",https://w3id.org/kim/hochschulfaechersystematik/n226; https://w3id.org/kim/hochschulfaechersystematik/n457
Tourismus,https://w3id.org/kim/hochschulfaechersystematik/n274
Transportprozesse an Grenzflächen,https://w3id.org/kim/hochschulfaechersystematik/n074
Ultrapräzisionsbearbeitung von Oberflächen mit Ionen und Plasmen,https://w3id.org/kim/hochschulfaechersystematik/n202
Umwelt,
Umweltmanagement und Energiewirtschaft,https://w3id.org/kim/hochschulfaechersystematik/n184
Umweltmikrobiologie,https://w3id.org/kim/hochschulfaechersystematik/n026
Umweltmonitoring,
Umweltwissenschaften,
Universitätsbibliothek,https://w3id.org/kim/hochschulfaechersystematik/n262
Unternehmensführung,https://w3id.org/kim/hochschulfaechersystematik/n021
Verbrennungsmotoren und Antriebssysteme   Frank Atzler,https://w3id.org/kim/hochschulfaechersystematik/n235
Verbundwerkstoffe und Werkstoffverbunde,https://w3id.org/kim/hochschulfaechersystematik/n219
Verfahrenstechnik und Naturstofftechnik,https://w3id.org/kim/hochschulfaechersystematik/n226; https://w3id.org/kim/hochschulfaechersystematik/n457; https://w3id.org/kim/hochschulfaechersystematik/n63
Verfahrenstechnik und Umwelttechnik,https://w3id.org/kim/hochschulfaechersystematik/n226; https://w3id.org/kim/hochschulfaechersystematik/n457
Verkehrsplanung und Straßenverkehr,https://w3id.org/kim/hochschulfaechersystematik/n089; https://w3id.org/kim/hochschulfaechersystematik/n268
Verkehrspsychologie,https://w3id.org/kim/hochschulfaechersystematik/n089; https://w3id.org/kim/hochschulfaechersystematik/n268; https://w3id.org/kim/hochschulfaechersystematik/n132
Verkehrstelematik,https://w3id.org/kim/hochschulfaechersystematik/n089; https://w3id.org/kim/hochschulfaechersystematik/n268; https://w3id.org/kim/hochschulfaechersystematik/n210; https://w3id.org/kim/hochschulfaechersystematik/n079
Verkehrswirtschaft,https://w3id.org/kim/hochschulfaechersystematik/n210
Verkehrswissenschaften,https://w3id.org/kim/hochschulfaechersystematik/n089; https://w3id.org/kim/hochschulfaechersystematik/n268
Vermögensmanagement,
Vocational Education and Personnel Capacity Building,https://w3id.org/kim/hochschulfaechersystematik/n270; https://w3id.org/kim/hochschulfaechersystematik/n257
Vokationomie / Berufs- und Wirtschaftspädagogik,https://w3id.org/kim/hochschulfaechersystematik/n270
VWL,https://w3id.org/kim/hochschulfaechersystematik/n175
Waldbau und Forstschutz,https://w3id.org/kim/hochschulfaechersystematik/n59
Wärmetechnik und Thermodynamik,https://w3id.org/kim/hochschulfaechersystematik/n0128
Wasserbau und Technische Hydromechanik,https://w3id.org/kim/hochschulfaechersystematik/n094
Wasserchemie,https://w3id.org/kim/hochschulfaechersystematik/n032
Weiterbildungsforschung und Organisationsentwicklung,https://w3id.org/kim/hochschulfaechersystematik/n321
Werken,https://w3id.org/kim/hochschulfaechersystematik/n201
Werkstoffe und Zuverlässigkeit mikrotechnischer Systeme,https://w3id.org/kim/hochschulfaechersystematik/n157; https://w3id.org/kim/hochschulfaechersystematik/n286
Werkstoffwissenschaft,https://w3id.org/kim/hochschulfaechersystematik/n294
Werkstoffwissenschaft und Werkstofftechnologie,https://w3id.org/kim/hochschulfaechersystematik/n294; https://w3id.org/kim/hochschulfaechersystematik/n72
WI,https://w3id.org/kim/hochschulfaechersystematik/n179; https://w3id.org/kim/hochschulfaechersystematik/n370
Wirtschaft,https://w3id.org/kim/hochschulfaechersystematik/n184
Wirtschaft und Recht,https://w3id.org/kim/hochschulfaechersystematik/n3; https://w3id.org/kim/hochschulfaechersystematik/n23; https://w3id.org/kim/hochschulfaechersystematik/n184; https://w3id.org/kim/hochschulfaechersystematik/n28; https://w3id.org/kim/hochschulfaechersystematik/n135
Wirtschaft und Sprachen,https://w3id.org/kim/hochschulfaechersystematik/n030
Wirtschaft und Verkehr,https://w3id.org/kim/hochschulfaechersystematik/n210; https://w3id.org/kim/hochschulfaechersystematik/n184; https://w3id.org/kim/hochschulfaechersystematik/n268
Wirtschaft-Technik-Haushalt,https://w3id.org/kim/hochschulfaechersystematik/n184; https://w3id.org/kim/hochschulfaechersystematik/n199; https://w3id.org/kim/hochschulfaechersystematik/n333
Wirtschaftsinformatik,https://w3id.org/kim/hochschulfaechersystematik/n277
Wirtschaftsingenieurwesen,https://w3id.org/kim/hochschulfaechersystematik/n179; https://w3id.org/kim/hochschulfaechersystematik/n370
Wirtschaftsingenieurwesen  Bauwesen,https://w3id.org/kim/hochschulfaechersystematik/n370; https://w3id.org/kim/hochschulfaechersystematik/n68
Wirtschaftsingenieurwesen  Maschinenbau,https://w3id.org/kim/hochschulfaechersystematik/n370; https://w3id.org/kim/hochschulfaechersystematik/n104
Wirtschaftsingenieurwesen Energietechnik,https://w3id.org/kim/hochschulfaechersystematik/n370; https://w3id.org/kim/hochschulfaechersystematik/n211; https://w3id.org/kim/hochschulfaechersystematik/n316
Wirtschaftsmathematik,https://w3id.org/kim/hochschulfaechersystematik/n276
Wirtschaftspädagogik,https://w3id.org/kim/hochschulfaechersystematik/n181
Wirtschaftswissenschaft und Wirtschaftsingenieurwesen,https://w3id.org/kim/hochschulfaechersystematik/n184; https://w3id.org/kim/hochschulfaechersystematik/n179; https://w3id.org/kim/hochschulfaechersystematik/n370
Wirtschaftswissenschaften,https://w3id.org/kim/hochschulfaechersystematik/n184
Wirtschaftswissenschaften und WIPÄD,https://w3id.org/kim/hochschulfaechersystematik/n184; https://w3id.org/kim/hochschulfaechersystematik/n181
Wirtschaftswissenschaften und Wirtschaftsingenieurwesen,https://w3id.org/kim/hochschulfaechersystematik/n184; https://w3id.org/kim/hochschulfaechersystematik/n179; https://w3id.org/kim/hochschulfaechersystematik/n370
WISSENSCHAFT UND GESELLSCHAFT,https://w3id.org/kim/hochschulfaechersystematik/n154
Wissenstransfer und Digitale Transformation,https://w3id.org/kim/hochschulfaechersystematik/n079; https://w3id.org/kim/hochschulfaechersystematik/n222; https://w3id.org/kim/hochschulfaechersystematik/n253
Zentrum  Internationale Studien an der TU Dresden,
Zentrum  Lehrerbildung,https://w3id.org/kim/hochschulfaechersystematik/n052; https://w3id.org/kim/hochschulfaechersystematik/n361
"Zentrum  Lehrerbildung, Schul- und Berufsbildungsforschung",https://w3id.org/kim/hochschulfaechersystematik/n052; https://w3id.org/kim/hochschulfaechersystematik/n361; https://w3id.org/kim/hochschulfaechersystematik/n270
Zentrum  neue Studienformen,
